stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
000651.SZ,,,,,,,,40919,,,,
000652.SZ,,,,,,,,,,,,
000655.SZ,,,,,,,,,,,40008,
000656.SZ,,,,42676,,41995,,,40777,,,
000657.SZ,,,,,,41666,41592,,,,,
000659.SZ,,,,,,,,,,40535,,
000661.SZ,43826,,,,,,,,,,,
000662.SZ,,,,42466,,,,,,,,
000663.SZ,,,,,42360,,,,,,,
000665.SZ,,,,,42009,41940,,41233,,,,
000666.SZ,,,,,,,,41256,,,,
000667.SZ,,,,,,,,,,,,39462
000668.SZ,,,,,,,,,,,,
000669.SZ,,,,,42017,,,41256,,,,
000670.SZ,,,,,,,,,,,,
000671.SZ,,,,,42368,41948,,,,,,39806
000672.SZ,,,,,,,41383,,,,,
000673.SZ,,,,,42166,,,,,,,
000676.SZ,,,,42507,,,,,,,,
000677.SZ,,,,,,,,,,,,
000678.SZ,,,,42573,,,41310,,,,,
000679.SZ,,,,,,,,,,,,
000680.SZ,,,,,,,41530,,,,,
000681.SZ,,,,,42209,41739,,,,,,
000682.SZ,,43255,,,,,,,,,,
000683.SZ,,,,42641,42019,41901,,,,,,39549
000685.SZ,,,,,42342,,,,,,,39646
000686.SZ,,,,,,,,41152,,,,
000687.SZ,,,,,,,,41026,,,,
000688.SZ,,,,,,,41383,,,,,
000690.SZ,,,,42485,,,,,,,,
000691.SZ,,,,,,,,,,,,
000692.SZ,,,,,,,,,,,,
000695.SZ,,,,,,,,,,,,
000697.SZ,,43404,,,,41739,,40927,,,,
000698.SZ,,,,,42327,,,,,,,39667
000700.SZ,,43122,,,42044,,,,,,,
000701.SZ,,,,42425,,41731,,,,,,
000702.SZ,,,,,,,,,,,,
000703.SZ,43518,43460,,42661,42312,,,,40701,,,
000705.SZ,,,,,,,,41225,,,,
000707.SZ,,,,,,,,,,,,
000708.SZ,43725,,,,,,,,,,,
000709.SZ,,,,,,,,,40864,,,
000710.SZ,,,42957,,,,,,,,,
000711.SZ,43518,,43027,42689,,,,,,,,
000712.SZ,,,,,,,,41151,,,,
000713.SZ,43803,,,,,,,,,40539,,
000715.SZ,,,,,,,,,,,,
000716.SZ,,43442,,,,41943,41422,,,,,
000717.SZ,,,,,,,41464,,,,,
000718.SZ,,,,,42366,,,,,,,39778
000719.SZ,,,,,,41901,,,40725,,,
000720.SZ,,,43047,,,,,,,,,
000721.SZ,,,,,,,41460,,,,,
000722.SZ,,,,,,,,41066,,,,
000723.SZ,,,,42396,42356,,,,,,,
000725.SZ,,,,,,41733,,,,40522,39973,39651
000726.SZ,,,,,,,,,,,,39786
000727.SZ,,,,,42033,,,,,,,
000728.SZ,,,43038,,,,,,,,40113,
000729.SZ,,,,,,,41416,,,,,39795
000731.SZ,,,,,,,,,,,,
000732.SZ,,,,,42276,,,,,40248,,
000733.SZ,,43459,,,,41745,,,,,,
000735.SZ,,,,42472,,,,,,,,
000736.SZ,,,,,,,,,,,,39785
000737.SZ,,,,,,,,,,,,
000738.SZ,,,,,,,41523,,,40465,,
000739.SZ,,,43066,,,41907,41372,,,,,
000750.SZ,,,,,42209,,,,40759,,,
000751.SZ,,,,,,,,,,,,
000752.SZ,,,,,,,,,,,,
000753.SZ,,,42740,,,41932,,,,,,
000755.SZ,,,,,,,,,,,,
000756.SZ,,,43020,,,,,,,,,
000757.SZ,43669,,,,,41821,,,,,,
000758.SZ,,,,,,,,,,,,
000759.SZ,,,,,,,,,,,,
000760.SZ,,,,,,,41614,,,,,
000761.SZ,,43161,,,,,,,,,,
000762.SZ,,,,42467,,,,,40675,,,
000766.SZ,,,,42424,42082,,,,,,,
000767.SZ,,,42755,,,,41386,,,,,
000768.SZ,,,,,42222,,,41227,,,,39500
000776.SZ,,,,,,,,,40780,40219,,
000777.SZ,,,,,,,,,,40536,,
000778.SZ,,,42826,,,,41597,,,,40030,
000779.SZ,43481,,,,,,,,,,,
000780.SZ,,,,,,,,,,,,
000782.SZ,,,,,,41901,,,,,,
000783.SZ,,,,42580,,,,,40604,,,
000785.SZ,43818,,,,,,,,,,,
000786.SZ,,,,42688,,41911,,,,,,
000788.SZ,,,,,,,,,40835,,40009,
000789.SZ,,,,,,,,41227,,,,
000790.SZ,,,,,,,,,,,,
000791.SZ,,,,42437,,,,41270,,,,
000792.SZ,,,,,42366,,,,,,,
000793.SZ,,,,,42082,41969,41639,,,,,
000795.SZ,,,,42550,42237,41886,,,,,,
000796.SZ,,,,,42318,,,,,,,
000797.SZ,,,,,,,,,,,,
000798.SZ,,,,,,,,,,,,
000799.SZ,,,,,,,,,40848,,,
000800.SZ,,,,,,,,,,,,
000801.SZ,,,,,42111,,,41109,,40340,,
000802.SZ,,,,42461,,,,,40662,,,
000803.SZ,,,,,,,,,,,,
000806.SZ,,,,,42086,,,,,,,
000807.SZ,,,,42692,42164,,,,,,40070,39457
000809.SZ,,,,,,,,40912,,,,
000810.SZ,,,,42676,,41907,,,,,,
