stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
000807.SZ,,,,1.0,1.0,,,,,,1.0,1.0
000809.SZ,,,,,,,,1.0,,,,
000810.SZ,,,,1.0,,1.0,,,,,,
000811.SZ,,,,,1.0,,,,,,,
000812.SZ,,,1.0,,,,,,,,,
000813.SZ,,,,1.0,,,1.0,,,,,
000815.SZ,,,,1.0,,,,,,,,
000816.SZ,,,,,,1.0,,,,,,
000818.SZ,,,,,,,,,,,,
000819.SZ,,,,,,,,,,,,
000820.SZ,,,,1.0,,,,,,,,
000821.SZ,,1.0,,,1.0,,,,,,,
000822.SZ,,,,,,,,,,,,
000823.SZ,,,,,,1.0,,,,,,1.0
000825.SZ,,,,,,,,,,,,1.0
000826.SZ,,,1.0,,,,,,,,,1.0
000828.SZ,,,,,,,,,,,,
000829.SZ,,,1.0,,,,,,,,,
000830.SZ,,,,,,,,,1.0,,,
000831.SZ,,,,,,,1.0,,,,,
000833.SZ,,,,,1.0,,,,,,,
000835.SZ,,,,1.0,,,,,,,,
000836.SZ,,,,,1.0,,,,,,1.0,
000837.SZ,,,,,,1.0,,,,,,
000838.SZ,,,,,1.0,,,,,,,
000839.SZ,,,,,,,,,,,,
000848.SZ,,,,,,,,,,,,
000850.SZ,,,,,,,,,,,,
000851.SZ,,,1.0,1.0,,1.0,,1.0,,,1.0,
000852.SZ,,,,,1.0,,,,,,,
000856.SZ,,,,,,,,,,,,
000858.SZ,,1.0,,,,,,,,,,
000859.SZ,,,,,,1.0,,,,,,
000860.SZ,,,,,,1.0,,,,,,
000861.SZ,,,,,,1.0,,,,,,1.0
000862.SZ,,,1.0,,,1.0,,,,,,
000863.SZ,,,,1.0,,1.0,,1.0,,,,
000868.SZ,,1.0,,,,,,,1.0,,,1.0
000869.SZ,,,,,,,,,,,,
000875.SZ,,,,1.0,,,1.0,,,,,1.0
000876.SZ,,,1.0,,,1.0,,,1.0,,,
000877.SZ,,,1.0,,,,,1.0,,1.0,,
000878.SZ,1.0,,,,,,,,1.0,,,
000880.SZ,,,,,,,,,,,,
000881.SZ,,,1.0,,,,,,,,,
000882.SZ,,,1.0,,,1.0,,,1.0,,1.0,
000883.SZ,,,,,1.0,,,1.0,,1.0,,
000885.SZ,,,1.0,,,1.0,,,,,1.0,
000886.SZ,,,,,,,,,,,,
000887.SZ,,,,1.0,,,,,,,1.0,
000888.SZ,,,,,,,1.0,,,,,
000889.SZ,,1.0,,,,1.0,,1.0,,,,
000890.SZ,,,,,,,,,,,,
000892.SZ,,,1.0,1.0,,,,,,,,
000893.SZ,,,,,1.0,,1.0,,,,,
000895.SZ,1.0,,,,,,,1.0,,,,
000897.SZ,,,,,,,,,,,,
000898.SZ,,,,,,,,,,,,
000899.SZ,,,,1.0,,,,,,,,
000900.SZ,,,,,,,,,,,,
000901.SZ,,,,1.0,,,,,,1.0,,
000902.SZ,,,,,1.0,1.0,,,,,,
000903.SZ,,,1.0,1.0,,1.0,,,,,,
000905.SZ,,,,,,,,,,,,
000906.SZ,,,,,1.0,,,,,1.0,,
000908.SZ,,,,,1.0,1.0,,,,,,
000909.SZ,,,1.0,,,,,,,,,
000910.SZ,,,,,,,,,,,,
000911.SZ,,,,,1.0,,,,,,,
000912.SZ,,,,,,,,,,,,
000913.SZ,,,,,,,,,,,,
000915.SZ,,,,,,,,,,,,
000917.SZ,,,,,,,1.0,1.0,,,,
000918.SZ,,,,,,,,,,,1.0,
000919.SZ,,,,,,,,,,,,
000920.SZ,,,,,,,,,,,,
000921.SZ,,,,,,,,,,1.0,,
000922.SZ,,,,,,1.0,1.0,,,,,
000923.SZ,,,1.0,,,,,,,,,
000925.SZ,,,1.0,,1.0,,,,1.0,,1.0,
000926.SZ,,,,1.0,,,,,,,,1.0
000927.SZ,,,,,,,,,,,,
000928.SZ,,,,1.0,,1.0,,,,,,
000929.SZ,,,,,,,,,,,,
000930.SZ,,1.0,,,,,,,,,,
000931.SZ,,,1.0,,,,,,,,,
000932.SZ,,,,,,,,,1.0,,,1.0
000933.SZ,,,,,,,,1.0,,,,
000935.SZ,,,,,1.0,,,,1.0,,,
000936.SZ,,,,,1.0,,,,,,,
000937.SZ,,,,,,1.0,,,,1.0,,
000938.SZ,,,,1.0,,,,,,,,
000939.SZ,,,,1.0,1.0,,,,,,,1.0
000948.SZ,,,,,,,1.0,,,,,1.0
000949.SZ,,,,1.0,,1.0,,,,1.0,,
000950.SZ,,,1.0,,,,,,,,1.0,
000951.SZ,,,,,,,,,,,,
000952.SZ,,,,,,,,,,,,
000953.SZ,,,,,,,,,,,,
000955.SZ,,,,,,,,1.0,,,,
000957.SZ,,,,,1.0,,,,,,,
000958.SZ,,,,1.0,,1.0,,,,,,
000959.SZ,,,,,,1.0,,,,,,
000960.SZ,,,1.0,,1.0,,1.0,,,,,
000961.SZ,,,,1.0,,,,,,,1.0,
000962.SZ,,,,,,,,,,,,
000963.SZ,,,,1.0,,,,,,,,
000965.SZ,,,,,,1.0,,,,,1.0,
000966.SZ,,,,,,,,,,,,
000967.SZ,1.0,1.0,,,1.0,1.0,,,,,,
000968.SZ,,,1.0,,,,,,,,,
000969.SZ,,,,1.0,,,,,,,,
000970.SZ,,,,,,,,1.0,,,,
000971.SZ,,1.0,,1.0,1.0,,,,,,,
000972.SZ,,,,,,,,,,1.0,,
000973.SZ,,,,,,,1.0,,,,,
000975.SZ,,1.0,,,,,1.0,,,,,
000976.SZ,,,,1.0,,,,,,,,
000977.SZ,,,,1.0,,1.0,,,,,,
000978.SZ,,,,,,,,,,1.0,,
000980.SZ,,,1.0,,,1.0,,,,,,
000981.SZ,,,1.0,,,,,,1.0,,,
000982.SZ,,,,,,1.0,,,1.0,,,
000983.SZ,,,,,,,,,,,,
000985.SZ,,,,,,,,,,,,
000987.SZ,,1.0,,1.0,,,,,,,,
000988.SZ,,,1.0,,,,,,1.0,,,
000989.SZ,,,,,1.0,,,,,,,
000990.SZ,,,,1.0,,1.0,,,,,1.0,1.0
000993.SZ,,,1.0,,,,,,,,,
000995.SZ,,,,,,,,,,,,
000996.SZ,,,,,,,,,,,,
000997.SZ,,,1.0,,,,,,,1.0,,
000998.SZ,,1.0,,1.0,,1.0,,,,,,
000999.SZ,,,,,,,,,,,,
001696.SZ,,,,,,,,1.0,,,,
001872.SZ,1.0,1.0,,,,,,,,,,
001896.SZ,,,1.0,,,1.0,,,,1.0,,
001914.SZ,1.0,,,,,,,,,,,
001965.SZ,,,,,,,,,,,,
001979.SZ,,,,1.0,,,,,,,,
002001.SZ,,,1.0,,,,,,,1.0,,
002002.SZ,,,1.0,,1.0,,1.0,,,,,
002003.SZ,,,,1.0,,,,,,,,
002004.SZ,,,,,1.0,1.0,1.0,,1.0,,,
002005.SZ,,,1.0,,,1.0,,1.0,,1.0,,
002006.SZ,,,,,,,,,1.0,,,
002007.SZ,,,,,,,,,,,,1.0
002008.SZ,,,,,,,,,,,,1.0
002009.SZ,,,,1.0,1.0,,1.0,,,,,
002010.SZ,,,,,1.0,,,,,1.0,,
002011.SZ,,,,1.0,,,,,1.0,,1.0,
002012.SZ,,,,,,,,,1.0,,,
002013.SZ,,,,1.0,,,,1.0,,,,
002014.SZ,,,,1.0,,,,1.0,,,,
002015.SZ,1.0,,,,,,,,,,1.0,
002016.SZ,,,,,1.0,,,,,,,1.0
002017.SZ,,,,,,,,,,,,
002019.SZ,,,1.0,,,1.0,,,,,1.0,
002020.SZ,,,1.0,1.0,,1.0,,,1.0,,,
